Room,DistToPlayer,LineOfSight,DistToWall,TimeInAction,SameRoom,DistToPatrol,AngleToPlayer,PlayerSpeed,Action
2,441.81,0,14.14,0.00,0,200.00,-174.81,0.00,PATROL
2,440.55,0,14.24,0.18,0,199.91,-174.85,6.98,PATROL
2,435.46,0,19.09,0.20,0,195.14,-175.05,7.68,PATROL
2,434.60,0,19.69,0.23,0,194.55,-175.08,8.64,PATROL
2,433.56,0,20.55,0.25,0,193.72,-175.12,9.29,PATROL
2,432.78,0,21.14,0.27,0,193.15,-175.15,9.89,PATROL
2,432.01,0,21.71,0.29,0,192.60,-175.18,10.49,PATROL
2,431.23,0,22.30,0.31,0,192.04,-175.20,11.02,PATROL
2,430.48,0,22.84,0.32,0,191.53,-175.23,11.56,PATROL
2,429.71,0,23.40,0.34,0,190.99,-175.26,12.05,PATROL
2,428.97,0,23.93,0.36,0,190.49,-175.29,12.53,PATROL
2,428.21,0,24.46,0.38,0,189.98,-175.32,13.00,PATROL
2,427.43,0,25.00,0.40,0,189.47,-175.35,13.47,PATROL
2,426.64,0,25.55,0.42,0,188.95,-175.38,13.91,PATROL
2,425.67,0,26.08,0.45,0,188.44,-175.41,14.62,PATROL
2,424.51,0,26.99,0.47,0,187.58,-175.46,15.02,PATROL
2,423.72,0,27.53,0.48,0,187.07,-175.49,15.40,PATROL
2,422.92,0,28.05,0.50,0,186.57,-175.52,15.77,PATROL
2,422.12,0,28.59,0.52,0,186.07,-175.55,16.12,PATROL
2,421.28,0,29.12,0.54,0,185.57,-175.58,16.50,PATROL
2,420.41,0,29.71,0.56,0,185.02,-175.61,16.82,PATROL
2,419.60,0,30.23,0.58,0,184.53,-175.64,17.13,PATROL
2,418.75,0,30.77,0.59,0,184.02,-175.68,17.45,PATROL
2,417.89,0,31.32,0.61,0,183.50,-175.71,17.74,PATROL
2,417.02,0,31.87,0.63,0,182.98,-175.74,18.03,PATROL
2,416.11,0,32.44,0.65,0,182.45,-175.78,18.31,PATROL
2,415.23,0,33.01,0.67,0,181.91,-175.81,18.55,PATROL
2,414.39,0,33.54,0.69,0,181.42,-175.84,18.79,PATROL
2,413.52,0,34.08,0.71,0,180.91,-175.88,19.01,PATROL
2,412.65,0,34.62,0.73,0,180.40,-175.91,19.22,PATROL
2,411.72,0,35.16,0.75,0,179.90,-175.95,19.45,PATROL
2,410.69,0,35.71,0.77,0,179.25,-175.95,19.66,PATROL
2,409.67,0,36.23,0.79,0,178.64,-175.96,19.85,PATROL
2,408.64,0,36.76,0.81,0,178.01,-175.96,20.03,PATROL
2,407.62,0,37.30,0.83,0,177.38,-175.96,20.19,PATROL
2,406.58,0,37.82,0.85,0,176.77,-175.97,20.34,PATROL
2,405.54,0,38.39,0.87,0,176.11,-175.97,20.47,PATROL
2,404.61,0,38.90,0.89,0,175.53,-175.98,20.57,PATROL
2,403.71,0,39.36,0.91,0,175.00,-175.98,20.66,PATROL
2,402.73,0,39.86,0.93,0,174.43,-175.99,20.75,PATROL
2,401.76,0,40.39,0.95,0,173.82,-175.99,20.82,PATROL
2,400.81,0,40.87,0.97,0,173.28,-176.00,21.20,PATROL
2,399.81,0,41.41,0.99,0,172.67,-176.00,21.55,PATROL
2,398.82,0,41.91,1.00,0,172.10,-176.01,21.90,PATROL
2,397.78,0,42.44,1.03,0,171.51,-176.01,22.27,PATROL
2,396.65,0,43.00,1.05,0,170.88,-176.02,22.66,PATROL
2,395.54,0,43.60,1.07,0,170.21,-176.02,22.99,PATROL
2,394.51,0,44.13,1.09,0,169.62,-176.03,23.32,PATROL
2,393.49,0,44.67,1.11,0,169.03,-176.03,23.63,PATROL
2,392.47,0,45.18,1.13,0,168.46,-176.03,23.94,PATROL
2,391.43,0,45.71,1.15,0,167.87,-176.04,24.24,PATROL
2,390.30,0,46.23,1.17,0,167.30,-176.04,24.60,PATROL
2,389.07,0,46.87,1.19,0,166.60,-176.05,24.92,PATROL
2,387.93,0,47.46,1.21,0,165.96,-176.05,25.22,PATROL
2,386.80,0,48.01,1.23,0,165.35,-176.05,25.52,PATROL
2,385.71,0,48.59,1.25,0,164.72,-176.06,25.78,PATROL
2,384.67,0,49.10,1.27,0,164.17,-176.06,26.05,PATROL
2,383.58,0,49.63,1.29,0,163.59,-176.06,26.32,PATROL
2,382.52,0,50.18,1.31,0,163.00,-176.07,26.55,PATROL
2,381.50,0,50.68,1.32,0,162.45,-176.07,26.77,PATROL
2,380.46,0,51.19,1.34,0,161.91,-176.07,26.97,PATROL
2,379.42,0,51.70,1.36,0,161.35,-176.07,27.15,PATROL
2,378.33,0,52.21,1.38,0,160.80,-176.08,27.34,PATROL
2,377.25,0,52.77,1.40,0,160.20,-176.08,27.49,PATROL
2,376.19,0,49.60,1.42,0,159.67,-176.08,27.64,PATROL
2,375.09,0,49.02,1.44,0,159.08,-176.08,27.76,PATROL
2,374.08,0,48.46,1.45,0,158.52,-176.08,27.86,PATROL
2,373.08,0,47.98,1.47,0,158.03,-176.09,27.96,PATROL
2,372.00,0,47.42,1.49,0,157.47,-176.09,28.04,PATROL
2,370.91,0,46.86,1.51,0,156.90,-176.09,28.11,PATROL
2,369.87,0,46.30,1.53,0,156.34,-176.09,28.16,PATROL
2,368.84,0,45.78,1.55,0,155.82,-176.09,28.20,PATROL
2,367.81,0,45.23,1.56,0,155.27,-176.09,28.23,PATROL
2,366.76,0,44.72,1.58,0,154.75,-176.09,28.24,PATROL
2,365.63,0,44.15,1.60,0,154.18,-176.10,28.46,PATROL
2,364.52,0,43.56,1.62,0,153.59,-176.09,28.67,PATROL
2,363.42,0,43.01,1.64,0,153.04,-176.10,28.88,PATROL
2,362.32,0,42.44,1.66,0,152.46,-176.09,29.07,PATROL
2,361.18,0,41.90,1.68,0,151.91,-176.10,29.29,PATROL
2,360.06,0,41.29,1.70,0,151.30,-176.09,29.47,PATROL
2,359.01,0,40.77,1.71,0,150.77,-176.09,29.65,PATROL
2,357.93,0,40.24,1.73,0,150.24,-176.09,29.83,PATROL
2,356.87,0,39.69,1.75,0,149.69,-176.09,30.00,PATROL
2,355.84,0,39.18,1.77,0,149.17,-176.09,30.17,PATROL
2,354.70,0,38.66,1.79,0,148.65,-176.09,30.36,PATROL
2,353.47,0,38.06,1.81,0,148.04,-176.09,30.55,PATROL
2,352.29,0,37.45,1.83,0,147.42,-176.08,30.72,PATROL
2,351.17,0,36.90,1.84,0,146.87,-176.08,30.88,PATROL
2,350.00,0,36.35,1.86,0,146.31,-176.08,31.06,PATROL
2,348.74,0,35.75,1.89,0,145.71,-176.07,31.24,PATROL
2,347.55,0,35.13,1.90,0,145.08,-176.07,31.39,PATROL
2,346.44,0,34.60,1.92,0,144.54,-176.06,31.55,PATROL
2,345.29,0,34.04,1.94,0,143.98,-176.06,31.70,PATROL
2,344.19,0,33.49,1.96,0,143.42,-176.05,31.83,PATROL
2,343.08,0,32.98,1.98,0,142.91,-176.05,31.98,PATROL
2,341.91,0,32.43,2.00,0,142.34,-176.05,32.11,PATROL
2,340.74,0,31.86,2.01,0,141.77,-176.04,32.23,PATROL
2,339.59,0,31.31,2.03,0,141.21,-176.03,32.32,PATROL
2,338.40,0,30.77,2.05,0,140.66,-176.03,32.41,PATROL
2,337.24,0,30.19,2.07,0,140.07,-176.02,32.47,PATROL
2,336.86,0,30.41,2.09,0,140.23,-175.96,32.52,PATROL
2,335.71,0,29.88,2.11,0,139.69,-175.96,32.55,PATROL
2,335.35,0,30.13,2.13,0,139.87,-175.89,32.56,PATROL
2,334.99,0,30.36,2.14,0,140.03,-175.83,32.57,PATROL
2,334.59,0,30.60,2.16,0,140.19,-175.78,32.56,PATROL
2,333.42,0,30.06,2.18,0,139.64,-175.77,32.69,PATROL
2,332.43,0,30.33,2.22,0,139.83,-175.70,32.95,PATROL
2,332.17,0,30.84,2.24,0,140.17,-175.58,33.09,PATROL
2,330.89,0,30.24,2.26,0,139.55,-175.57,33.23,PATROL
2,330.51,0,30.53,2.28,0,139.74,-175.50,33.35,PATROL
2,330.06,0,30.80,2.30,0,139.92,-175.44,33.47,PATROL
2,329.69,0,31.09,2.31,0,140.11,-175.37,33.59,PATROL
2,328.51,0,30.58,2.33,0,139.58,-175.36,33.70,PATROL
2,328.13,0,30.87,2.35,0,139.76,-175.29,33.81,PATROL
2,327.71,0,31.14,2.37,0,139.94,-175.23,33.92,PATROL
2,327.20,0,31.42,2.39,0,140.12,-175.17,34.05,PATROL
2,325.88,0,30.81,2.41,0,139.48,-175.15,34.16,PATROL
2,325.43,0,31.12,2.43,0,139.68,-175.08,34.28,PATROL
2,324.98,0,31.43,2.45,0,139.87,-175.01,34.38,PATROL
2,324.62,0,31.74,2.47,0,140.07,-174.94,34.48,PATROL
2,323.36,0,31.25,2.49,0,139.55,-174.93,34.59,PATROL
2,322.47,0,31.19,2.51,0,139.34,-174.85,34.70,PATROL
2,321.63,0,31.14,2.53,0,139.13,-174.77,34.80,PATROL
