Room,DistToPlayer,LineOfSight,DistToWall,TimeInAction,SameRoom,DistToPatrol,AngleToPlayer,PlayerSpeed,Action
2,441.81,0,14.14,0.00,0,200.00,-174.81,0.00,PATROL
2,440.40,0,14.23,0.19,0,199.92,-174.85,7.45,PATROL
2,434.90,0,19.42,0.21,0,194.81,-175.07,8.32,PATROL
2,433.94,0,20.19,0.23,0,194.07,-175.10,8.99,PATROL
2,433.12,0,20.80,0.26,0,193.48,-175.13,9.72,PATROL
2,432.19,0,21.48,0.28,0,192.83,-175.17,10.45,PATROL
2,431.26,0,22.19,0.30,0,192.14,-175.20,11.05,PATROL
2,430.40,0,22.80,0.33,0,191.56,-175.23,11.67,PATROL
2,429.51,0,23.45,0.35,0,190.95,-175.27,12.24,PATROL
2,428.61,0,24.07,0.37,0,190.36,-175.30,12.83,PATROL
2,427.66,0,24.73,0.39,0,189.72,-175.34,13.40,PATROL
2,426.72,0,25.39,0.41,0,189.09,-175.37,13.91,PATROL
2,425.78,0,26.02,0.44,0,188.50,-175.41,14.45,PATROL
2,424.78,0,26.70,0.46,0,187.85,-175.45,14.94,PATROL
2,423.72,0,27.36,0.49,0,187.23,-175.49,15.51,PATROL
2,422.63,0,28.15,0.51,0,186.49,-175.53,15.93,PATROL
2,421.68,0,28.77,0.53,0,185.90,-175.56,16.33,PATROL
2,420.73,0,29.39,0.55,0,185.32,-175.60,16.73,PATROL
2,419.70,0,30.02,0.58,0,184.72,-175.64,17.15,PATROL
2,418.54,0,30.74,0.60,0,184.05,-175.68,17.60,PATROL
2,417.40,0,31.54,0.62,0,183.29,-175.73,17.91,PATROL
2,416.39,0,32.14,0.65,0,182.73,-175.77,18.26,PATROL
2,415.30,0,32.86,0.67,0,182.06,-175.81,18.56,PATROL
2,414.30,0,33.49,0.69,0,181.46,-175.85,18.82,PATROL
2,413.33,0,34.10,0.71,0,180.89,-175.88,19.07,PATROL
2,412.30,0,34.71,0.73,0,180.32,-175.92,19.32,PATROL
2,411.26,0,35.39,0.75,0,179.69,-175.96,19.53,PATROL
2,410.29,0,35.90,0.77,0,179.08,-175.97,19.71,PATROL
2,409.18,0,36.39,0.80,0,178.50,-175.98,19.96,PATROL
2,407.94,0,37.10,0.82,0,177.67,-175.98,20.13,PATROL
2,406.94,0,37.63,0.84,0,177.05,-175.98,20.27,PATROL
2,405.96,0,38.14,0.86,0,176.45,-175.99,20.39,PATROL
2,404.99,0,38.64,0.88,0,175.87,-175.99,20.51,PATROL
2,404.00,0,39.17,0.90,0,175.27,-176.00,20.61,PATROL
2,403.09,0,39.67,0.92,0,174.69,-176.00,20.69,PATROL
2,402.20,0,40.12,0.94,0,174.18,-176.01,20.77,PATROL
2,401.25,0,40.61,0.95,0,173.62,-176.01,21.13,PATROL
2,400.24,0,41.13,0.98,0,173.03,-176.02,21.51,PATROL
2,399.20,0,41.67,1.00,0,172.41,-176.02,21.87,PATROL
2,398.16,0,42.20,1.02,0,171.82,-176.03,22.23,PATROL
2,397.13,0,42.76,1.03,0,171.19,-176.03,22.56,PATROL
2,396.17,0,43.26,1.05,0,170.64,-176.03,22.87,PATROL
2,395.13,0,43.75,1.07,0,170.09,-176.04,23.23,PATROL
2,393.90,0,44.33,1.10,0,169.44,-176.05,23.64,PATROL
2,392.65,0,45.02,1.12,0,168.68,-176.05,23.98,PATROL
2,391.42,0,45.59,1.15,0,168.05,-176.06,24.38,PATROL
2,390.15,0,46.28,1.17,0,167.29,-176.06,24.70,PATROL
2,388.99,0,46.85,1.19,0,166.66,-176.06,25.03,PATROL
2,387.70,0,47.46,1.21,0,166.00,-176.07,25.40,PATROL
