node1 node2 edgeweight
0 11 6.21
1 15 1.62
1 3 5.88
1 27 11.29
2 18 19.18
2 10 16.39
2 0 19.05
2 24 8.01
2 16 11.98
2 9 15.57
2 27 3.04
2 13 14.55
3 26 11.97
3 28 6.06
4 13 7.11
4 22 12.53
4 5 1.88
4 17 8.25
5 12 11.9
5 15 4.23
5 7 14.34
5 18 2.06
6 21 17.29
6 13 11.49
6 16 5.27
7 11 19.05
8 25 18.08
8 21 18.85
9 24 2.48
9 8 17.69
9 5 19.92
9 13 18.74
9 21 16.54
9 29 4.5
9 19 5.61
10 13 2.84
10 21 1.59
10 25 17.45
11 16 2.61
11 19 14.26
12 15 17.75
12 16 9.33
12 29 15.06
12 23 14.02
12 7 10.15
12 13 13.36
12 24 13.46
13 27 11.97
13 23 12.86
13 24 8.82
13 21 19.47
14 15 15.97
14 23 11.7
14 22 16.03
14 27 13.33
15 24 6.87
15 20 11.31
15 12 9.9
15 5 14.7
15 7 6.31
15 19 19.25
16 21 3.73
16 6 7.07
16 4 2.81
17 0 9.73
18 10 6.46
18 16 19.39
19 0 19.69
20 10 3.46
20 9 19.66
21 22 7.66
21 16 5.74
21 2 2.34
21 23 2.71
21 26 16.64
22 4 8.11
22 23 7.12
22 18 12.76
23 12 4.49
24 19 10.02
25 6 4.56
27 12 12.72
27 11 16.88
27 7 6.37
28 18 13.54
29 27 17.67
29 11 7.17
